#separator:tab
#html:true
#tags column:3
What is the difference between a model <b>parameter</b> and a <b>hyperparameter</b>?	A parameter is learned by the training algorithm (e.g. a weight). A hyperparameter is set by you before training and controls the learning process itself (e.g. regularization strength, learning rate). Only hyperparameters can be overfit to the validation set.	01-hands-on-ml-geron ch01
What is <b>sampling bias</b>?	When the training sample is not representative of the population you will deploy on, because of <i>how</i> it was collected. Classic example: the 1936 <i>Literary Digest</i> poll surveyed telephone and car owners and predicted the wrong US president despite 2.4 million responses.	01-hands-on-ml-geron ch01
You see low training error, low train-dev error, but high validation error. What is wrong?	<b>Data mismatch</b> — not overfitting. Your training distribution differs from your validation/production distribution. Fix the data, not the model.	01-hands-on-ml-geron ch01
What does the <b>No Free Lunch</b> theorem actually claim?	Averaged over all possible problems, no algorithm outperforms any other. Practically: every model embeds assumptions about the data, so there is no universally best model and you must evaluate empirically on <i>your</i> problem.	01-hands-on-ml-geron ch01
What is <b>self-supervised</b> learning, and why does it matter for LLMs?	Labels are generated from the input itself rather than annotated by humans — e.g. mask a token and predict it, or predict the next token. It is what allows training on internet-scale unlabeled text, and it is the objective behind every LLM pretraining run.	01-hands-on-ml-geron ch01
Name the two categories of things that make an ML project fail, per Géron.	Bad data (too little, unrepresentative, poor quality, irrelevant features) and bad algorithm (overfitting or underfitting the training data).	01-hands-on-ml-geron ch01
Why fit transformers on the training set only?	Transformer parameters (imputation medians, scaler mean/std, encoder categories) are <i>learned</i>. Fitting on all data leaks test-set statistics into training, producing optimistic and dishonest validation scores.	01-hands-on-ml-geron ch02
RMSE vs MAE — when do you pick each?	RMSE (ℓ₂) squares errors, so it penalizes large ones disproportionately — use it when errors are roughly Gaussian. MAE (ℓ₁) weights all errors linearly — use it when outliers exist and you don't want them to dominate.	01-hands-on-ml-geron ch02
What is <b>data snooping bias</b>?	Exploring the test set (or the full dataset) before splitting, so that your own model and feature choices are shaped by test data. Your brain overfits even when your code doesn't.	01-hands-on-ml-geron ch02
A decision tree scores RMSE = 0 on training data. What does that tell you?	It memorized the training set — severe overfitting. Confirm with cross-validation, where its error will be much worse than a properly regularized model's.	01-hands-on-ml-geron ch02
<code>GridSearchCV</code> or <code>RandomizedSearchCV</code>?	Grid for small, discrete, well-understood spaces where you want exhaustive coverage. Random for large or continuous spaces — for a fixed compute budget it samples far more distinct values per hyperparameter.	01-hands-on-ml-geron ch02
Why did <code>rooms_per_household</code> beat <code>total_rooms</code> as a feature?	<code>total_rooms</code> for a district mostly encodes district size, not housing quality. Dividing by households turns a size proxy into a meaningful per-unit ratio. Feature engineering outperformed every model change in the chapter.	01-hands-on-ml-geron ch02
Why is accuracy a bad metric for imbalanced classification?	A classifier that always predicts the majority class gets high accuracy while learning nothing. On MNIST's 5-detector, "always not-5" scores 90%.	01-hands-on-ml-geron ch03
Precision vs recall, in one line each.	Precision = of what I flagged, how much was correct (TP/(TP+FP)) — the cost of false alarms. Recall = of what I should have flagged, how much I caught (TP/(TP+FN)) — the cost of misses.	01-hands-on-ml-geron ch03
When should you prefer a PR curve over a ROC curve?	When the positive class is rare, or when false positives matter more than false negatives. FPR's denominator includes the huge TN count, so ROC AUC stays optimistic on imbalanced data; PR has no TN term.	01-hands-on-ml-geron ch03
How do you actually trade precision for recall?	Move the decision threshold on the classifier's score. Higher threshold → fewer positives → higher precision, lower recall. Get scores with <code>decision_function</code> or <code>predict_proba</code>, then sweep.	01-hands-on-ml-geron ch03
OvR vs OvO for multiclass — when is OvO preferred?	OvR trains N classifiers on the full dataset. OvO trains N(N−1)/2 classifiers, each on only two classes' data. Prefer OvO when the algorithm scales badly with dataset size — notably SVMs.	01-hands-on-ml-geron ch03
What is F₁ and when is it the wrong choice?	The harmonic mean of precision and recall, high only when both are. It is wrong whenever you genuinely care more about one error type than the other — which is most of the time. Reaching for F₁ can be a way of avoiding a product decision.	01-hands-on-ml-geron ch03
Why must you scale features before gradient descent?	Unscaled features make the cost surface an elongated valley, so GD zig-zags and converges slowly. Scaled features make it a round bowl with a direct path. (The Normal Equation is unaffected.)	01-hands-on-ml-geron ch04
Batch vs stochastic vs mini-batch GD?	Batch uses all instances per step — stable but slow, no out-of-core. Stochastic uses one — fast, noisy, escapes local minima, never settles without a decaying schedule. Mini-batch uses a small batch — the practical compromise, and it exploits GPU matrix ops.	01-hands-on-ml-geron ch04
How do learning curves distinguish underfitting from overfitting?	Both curves plateauing high and close together = underfitting (more data won't help). Low training error with a large gap to validation = overfitting (more data will help).	01-hands-on-ml-geron ch04
Why does ℓ₁ (Lasso) produce exactly-zero weights while ℓ₂ (Ridge) does not?	The ℓ₁ constraint region is a diamond whose corners lie on the axes, and optima tend to land on corners — a corner means some coordinate is exactly 0. ℓ₂'s region is a sphere with no corners, so it shrinks smoothly toward zero without reaching it.	01-hands-on-ml-geron ch04
Write the softmax function and say why it matters for LLMs.	p_k = exp(s_k) / Σ_j exp(s_j). An LLM's output layer is a softmax over the vocabulary — next-token prediction <i>is</i> softmax regression with K ≈ 50,000 classes, and temperature is a scalar dividing s_k before exponentiating.	01-hands-on-ml-geron ch04
Why does log loss punish confident wrong answers so severely?	The cost includes −log(p̂) for the true class, which goes to infinity as p̂ → 0. Predicting 0.001 for something that happens costs ~6.9; predicting 0.5 costs ~0.69.	01-hands-on-ml-geron ch04
Ridge, Lasso, or Elastic Net?	Ridge by default. Lasso when you believe only a few features matter (it selects them). Elastic Net over plain Lasso when features outnumber instances or several are strongly correlated, because Lasso behaves erratically there.	01-hands-on-ml-geron ch04
What is a <b>support vector</b>?	A training instance on or inside the margin street. Only these determine the decision boundary — all other instances could be moved (without crossing the margin) and the model would not change.	01-hands-on-ml-geron ch05
Your SVM is overfitting. Which way do you move <code>C</code> and <code>gamma</code>?	<b>Decrease both.</b> Lower C widens the street and allows more violations; lower gamma widens the RBF bell and smooths the boundary. Both are regularization knobs where <i>smaller means more regularized</i>.	01-hands-on-ml-geron ch05
What is the kernel trick?	A way to compute the dot product of two instances <i>as if</i> they had been projected into a very high-dimensional feature space, without ever computing that projection. It gives you the expressiveness of high-degree features at the cost of a similarity function.	01-hands-on-ml-geron ch05
Why did kernel SVMs lose to neural networks on large datasets?	<code>SVC</code> training is O(m²n) to O(m³n) in the number of instances, so it does not scale past ~100k rows and cannot train out-of-core. Neural networks train with mini-batch SGD, which is linear in data and streams.	01-hands-on-ml-geron ch05
What does the CART algorithm optimize at each node?	It greedily searches for the (feature, threshold) pair minimizing the size-weighted impurity of the two resulting children, then recurses. It never revisits a split — finding the globally optimal tree is NP-complete.	01-hands-on-ml-geron ch06
Gini impurity vs entropy — which should you use?	Rarely matters. Gini is slightly faster (no logarithm) and is the default; entropy tends to yield slightly more balanced trees. Not a decision worth agonizing over.	01-hands-on-ml-geron ch06
Which hyperparameters regularize a decision tree, and in which direction?	Increase the <code>min_*</code> parameters (<code>min_samples_split</code>, <code>min_samples_leaf</code>) and decrease the <code>max_*</code> ones (<code>max_depth</code>, <code>max_leaf_nodes</code>, <code>max_features</code>).	01-hands-on-ml-geron ch06
Why are decision trees called high-variance models?	Small changes in the training data produce a completely different tree structure. Ensembling (bagging, random forests) exploits exactly this: averaging many high-variance, low-bias models cancels the variance.	01-hands-on-ml-geron ch06
What is the orthogonal-boundary limitation?	Every CART split is axis-aligned, so a diagonal decision boundary must be approximated by a staircase. Rotating the data can turn a trivial problem into a convoluted tree; PCA sometimes fixes it.	01-hands-on-ml-geron ch06
Why do ensembles work, and what is the necessary condition?	Law of large numbers — many slightly-better-than-random voters aggregate to a much more accurate one. The condition is <b>error independence</b>: models must make <i>different</i> mistakes. Correlated models give no benefit.	01-hands-on-ml-geron ch07
Bagging vs pasting?	Bagging samples training subsets <b>with</b> replacement, pasting <b>without</b>. Bagging gives each predictor a more distorted view, so slightly higher bias but lower variance — usually preferred.	01-hands-on-ml-geron ch07
What is out-of-bag (oob) evaluation?	With bootstrap sampling each predictor sees only ~63% of instances (1 − 1/e). The unseen ~37% serve as a validation set for that predictor; averaging across the ensemble gives a free validation score with no separate holdout.	01-hands-on-ml-geron ch07
How does a random forest add diversity beyond bagging?	It also restricts each split to a random subset of features (<code>max_features</code>, default √n). Trees then disagree about which features to use, not just which rows they saw.	01-hands-on-ml-geron ch07
AdaBoost vs gradient boosting — what does each new predictor learn from?	AdaBoost re-weights the <i>instances</i> the previous predictors got wrong. Gradient boosting fits the new predictor directly to the <i>residual errors</i> of the ensemble so far.	01-hands-on-ml-geron ch07
Why can't boosting be parallelized?	It is sequential by definition — predictor n+1 is trained on the errors (or reweighted data) produced by predictor n. Bagging, by contrast, trains every predictor independently and scales across cores trivially.	01-hands-on-ml-geron ch07
What LLM technique is ensemble voting in disguise?	<b>Self-consistency</b> — sample the same prompt several times at nonzero temperature and take the majority answer. Also ensembles of LLM judges in evaluation.	01-hands-on-ml-geron ch07
State the curse of dimensionality with a concrete number.	Two random points in a unit square are ~0.52 apart on average; in a 1,000,000-dimensional unit hypercube, ~408.25. In high dimensions everything is far from everything, distances stop discriminating, and nearly all points sit near the boundary.	01-hands-on-ml-geron ch08
What is the manifold hypothesis?	Real high-dimensional data concentrates on a much lower-dimensional manifold — images of faces occupy a tiny structured region of all possible pixel arrays. The implicit second assumption, that the task is simpler on the manifold, is often but not always true.	01-hands-on-ml-geron ch08
How does PCA choose its axes?	The first component is the direction of maximum variance (equivalently, minimum squared projection distance); each subsequent component is orthogonal to the previous ones and captures the most remaining variance. Computed via SVD, on <b>centered</b> data.	01-hands-on-ml-geron ch08
How do you choose the number of PCA components?	By explained variance, not intuition: take the smallest d whose cumulative <code>explained_variance_ratio_</code> reaches your target (commonly 95%). In scikit-learn, <code>PCA(n_components=0.95)</code> does it directly.	01-hands-on-ml-geron ch08
What must you never conclude from a t-SNE or UMAP plot?	That cluster sizes or the distances between clusters mean anything. Both are artifacts of the algorithm. These plots reveal that structure exists; they do not measure it.	01-hands-on-ml-geron ch08
Why does embedding search use cosine similarity rather than Euclidean distance?	In high dimensions Euclidean distances concentrate — everything is roughly equidistant — while angular relationships stay informative. Cosine also ignores magnitude, which for embeddings usually encodes frequency rather than meaning.	01-hands-on-ml-geron ch08
Why can't you pick k by minimizing K-Means inertia?	Inertia decreases monotonically with k and hits zero when every point is its own cluster. Use the elbow in the inertia curve, or better, the silhouette score / silhouette diagram.	01-hands-on-ml-geron ch09
What is the silhouette coefficient?	(b − a) / max(a, b), where a is the mean distance to points in the same cluster and b the mean distance to the nearest other cluster. Ranges −1 (wrong cluster) to +1 (well separated).	01-hands-on-ml-geron ch09
Give three ways DBSCAN differs from K-Means.	(1) No need to specify the number of clusters. (2) Finds arbitrarily-shaped clusters, not just spherical ones. (3) Explicitly labels outliers. Also: it has no <code>predict</code> method — fit a classifier on its labels to handle new points.	01-hands-on-ml-geron ch09
What can a Gaussian Mixture Model do that K-Means cannot?	Fit elliptical clusters of differing size, shape, density, and orientation (it estimates full covariance matrices); give soft probabilistic assignments; generate new samples; and provide a density estimate usable for anomaly detection.	01-hands-on-ml-geron ch09
How do you choose the number of components for a GMM?	Minimize BIC or AIC, which trade likelihood against parameter count. Alternatively use <code>BayesianGaussianMixture</code>, which drives unnecessary component weights to ~0 given an upper bound.	01-hands-on-ml-geron ch09
